	100_TF_25875	101_WF_25876	102_WF_25877	103_WF_25878	110_WM_25880	111_TM_25881	112_TM_25882	113_TF_25883	120_WM_37906	130_WF_37916	131_TF_37917	132_TF_37918	133_TF_37919	140_TM_37922	141_TM_37923	142_WM_37925	143_WM_37926	150_WF_37927	151_WM_37929	152_WF_37930	160_TM_37933	200_WF_25887	201_WF_25888	202_WF_25889	203_TM_25890	210_TM_25900	211_WF_37901	212_TF_37902	220_WF_37913	230_WM_37915
SRPR	8.642774241	8.7144002	8.780703141	9.120381036	8.684472559	9.128111849	8.684120305	8.477504808	8.480391477	8.857592564	8.56949644	8.90159637	9.658784584	9.172316612	9.127695762	8.867449556	8.953033616	9.063273027	8.627228072	8.566446934	8.696630663	8.460886837	8.543086007	9.01308529	8.848528368	8.321403531	8.416834579	8.428736295	8.55043081	8.973338785
CKS2	8.628342344	8.611771149	8.72221393	8.686637022	8.821553015	9.000458627	8.977801292	8.967037923	9.108641616	8.55509931	8.223516817	8.08273113	7.888168629	9.663209319	8.549989182	8.724310748	8.879852886	8.504654199	9.106787022	8.324724519	9.242568259	8.666347283	8.555838014	9.114887635	9.750088639	9.580941249	8.237512828	8.178468378	8.091754417	8.915584104
TMC7	8.994213839	8.845924766	8.683307234	8.219179942	9.288235314	9.277125836	9.036784183	9.323110488	8.488992455	9.063981433	9.219619099	8.548377316	8.552763223	8.887226119	8.90957029	9.278952016	8.78036148	8.113405128	8.211380284	8.232445095	8.696630663	8.894676412	8.965051641	8.58146555	8.256848403	8.664752699	8.677387286	8.568225885	8.045063523	8.287653006
MSN	9.022013348	8.987857091	8.796983612	8.603900972	8.891365696	8.452848711	8.524214508	8.841825089	9.179119329	8.632840169	8.446203883	9.406020237	8.86518148	8.941642317	8.587970245	8.606672437	8.744496068	9.333093487	8.749742524	9.210493703	8.053155776	9.820811544	8.942636751	8.945577432	8.369508352	8.485636366	8.849268318	8.550788959	8.875673746	8.76788932
GPX4	8.702530508	8.760990634	9.108505771	8.504193532	8.987636772	9.262107432	8.501469429	9.18874555	9.576345431	7.975138777	8.210537623	7.655997444	8.513413818	9.163768368	9.748890224	9.930696	9.659670708	7.374653567	7.695950762	8.551296507	8.648044531	8.178894049	9.267538855	7.339745578	7.737296318	9.547243962	8.504187471	8.316044036	7.884251325	8.296350341
TRAPPC11	8.858886691	9.220391804	9.031603335	8.80077374	8.735058537	8.941070487	9.002224968	8.990817565	8.510269933	9.123550868	8.869629602	8.82033767	8.989527118	8.760438316	8.96459778	8.761462413	8.666459861	8.399557469	8.735440547	8.636288858	8.785369207	8.536834962	8.361128049	8.638298163	8.822504639	8.664752699	9.12940208	8.596821066	9.127219409	9.015829758
RABL6	8.678227447	8.869292628	8.768369849	9.032582595	9.056984482	8.987044731	8.815681963	8.900428028	9.01981452	9.242204062	9.253482815	8.744389516	9.187232131	8.144387938	8.583277656	8.61038362	8.598609902	8.861273818	8.936251999	8.539826893	8.635634828	8.016477895	8.879964843	8.39592772	8.915694843	8.266786525	8.781158335	8.9287326	8.665238493	8.849533578
LOC102069534	9.043870924	8.922377172	8.97912981	8.968043809	8.844753528	8.871826136	8.593931605	9.22066734	8.639392907	8.483864953	8.592922741	8.706587173	8.911200481	8.764221393	8.743175152	8.462077277	8.280182522	8.61428652	9.274052767	9.031704626	8.401322721	9.108146451	9.149619672	8.841662585	8.921152255	8.536414847	9.221500927	8.892373176	8.677442201	8.599640621
GALNT9	8.379310439	9.499749434	9.863265779	8.690127587	9.3040421	9.305157943	9.647805987	7.593806918	10.1015897	8.412716015	9.240877377	9.552205632	9.689830904	8.682591875	7.662072988	7.722025193	7.922597172	7.753693779	7.440615074	7.209238297	7.865610593	8.15219532	8.778676683	9.28004824	8.831231964	7.452922182	8.016540665	7.786169779	5.952675317	7.523907569
SYNE3	8.824536514	8.657302793	8.564551111	8.562566309	8.460225476	8.441606009	8.947373022	8.896834858	8.992959674	8.740512724	9.106012645	8.823549917	9.136545811	9.222563217	8.796778631	8.800918707	9.033486084	9.121998699	8.88215996	8.858412678	9.138287072	8.957235023	8.859589343	9.074398591	8.485005347	8.729867389	8.955141807	8.816758006	8.731102635	8.929548097
